"","sampletype"
"GSM1412698","tissue: Control Muscle biopsy"
"GSM1412699","tissue: Control Muscle biopsy"
"GSM1412700","tissue: Control Muscle biopsy"
"GSM1412701","tissue: Control Muscle biopsy"
"GSM1412702","tissue: Control Muscle biopsy"
"GSM1412703","tissue: Control Muscle biopsy"
"GSM1412704","tissue: Control Muscle biopsy"
"GSM1412705","tissue: Control Muscle biopsy"
"GSM1412706","tissue: Control Muscle biopsy"
"GSM1412707","tissue: FSHD1 Muscle biopsy"
"GSM1412708","tissue: FSHD2 Muscle biopsy"
"GSM1412709","tissue: FSHD2 Muscle biopsy"
"GSM1412710","tissue: FSHD2 Muscle biopsy"
"GSM1412711","tissue: FSHD2 Muscle biopsy"
"GSM1412712","tissue: FSHD2 Muscle biopsy"
"GSM1412713","tissue: FSHD2 Muscle biopsy"
"GSM1412714","tissue: FSHD1 Muscle biopsy"
"GSM1412715","tissue: FSHD1 Muscle biopsy"
"GSM1412716","tissue: FSHD1 Muscle biopsy"
"GSM1412717","tissue: FSHD1 Muscle biopsy"
"GSM1412718","tissue: FSHD1 Muscle biopsy"
"GSM1412719","tissue: FSHD1 Muscle biopsy"
"GSM1412720","tissue: FSHD1 Muscle biopsy"
"GSM1412721","tissue: FSHD1 Muscle biopsy"
